1,1,"Black Bean Tortilla Soup","Crispy tortilla strips, sour cream","Soups",3.84,\N,\N,0
2,1,"DKH Homestyle Chili","Beef, crispy tortilla strips, sour cream","Soups",6.24,\N,\N,0
3,1,"Southwest Chopped Salad","Romaine, black beans, corn, tomatoes, queso fresco, creamy avocado dressing","Salads",7.94,\N,\N,1
4,1,"Greek Salad","Romaine, tomatoes, kalamata olives, red onion, feta, greek dressing","Salads",7.74,\N,"dairy",1
5,1,"DKH Classic Burger","Cheddar, lettuce, tomato, onion","Burgers",8.74,\N,"dairy, gluten",0
6,1,"Sloppy Burger","Cheddar, bacon, thousand-island, guacamole","Burgers",9.44,\N,"dairy, gluten",0
7,1,"Southwestern Burger","Cheddar, jalapeño, guacamole, crispy tortilla strips","Burgers",9.94,\N,"dairy, gluten",0
8,1,"BBQ Burger","Bacon, cheddar, onion rings, BBQ sauce","Burgers",9.50,\N,"dairy, gluten",0
9,1,"Krafthouse Krazy Burger","Cheddar, provolone, bacon, fried egg, onion rings","Burgers",9.50,\N,"dairy, gluten",0
10,1,"Ground Beef Tacos","Pico de gallo, sour cream","Tacos",8.54,\N,"dairy",0
11,1,"Grilled Chicken Tacos","Piceo de gallo, sour cream","Tacos",8.64,\N,"dairy",0
12,1,"Grilled Fish Tacos","slaw, pico de gallo, sour cream","Tacos",9.94,\N,"dairy, fish",0
13,1,"Reuben Sandwich","Corned beef, sauerkraut, swiss, thousand island, rye bread","Sandwiches",10.00,\N,"dairy, gluten",0
14,1,"DKH Turkey Double Decker","Bacon, cheddar, lettuce, tomato, onion, mayo, sourdough","Sandwiches",9.24,\N,"dairy, gluten",0
15,1,"Crispy Chicken Sandwich","Bacon, cheddar, grilled onion, ranch, sriracha mayo, bun","Sandwiches",9.34,\N,"dairy, gluten",0
16,1,"Krafthouse Cheese Steak","Provoloine, grilled peppers and onions, mayo, grilled sourdough","Sandwiches",9.44,\N,"dairy, gluten",0
17,1,"Grilled Pimento Cheese Sandwich","Crispy bacon, tomato, grilled sourdough","Sandwiches",8.94,\N,"dairy, gluten",0
18,1,"Chocolate Brownie","Chocolate sauce, vanilla ice cream","Desserts",6.00,\N,"dairy, eggs",1
19,1,"Jumbo Rice Krispy Treat","Rice krispies, marshmallows","Desserts",3.00,\N,\N,1
20,1,"Sweet Potato Tots","Sweet fried potatoes","Snacks",4.24,\N,\N,2
21,1,"French Fries","Fried potatoes","Snacks",4.24,\N,\N,2
22,1,"Cheese Quesadilla","Sour cream, pico de gallo","Snacks",6.54,\N,"dairy, gluten",1
23,1,"Wings","Chicken wings, hot sauce","Chicken",7.84,\N,"dairy, fish, shellfish, treenuts, peanuts, soybeans",0
24,1,"Chicken Tenders","Chicken, breadcrumbs","Chicken",6.84,\N,"dairy, gluten",0
25,1,"Nachos","Cheddar, black beans, jalapeños, pico de gallo, sour cream","Snacks",8.34,\N,"dairy",1
26,1,"Tortilla Chips & Salsa","Chips, salsa","Snacks",3.74,\N,"dairy",1
27,1,"Soft Pretzel","Pretzel, honey mustard","Snacks",3.00,\N,\N,2
28,1,"Boylan Sodas","Made with cane sugar","Drinks",3.00,\N,\N,1
29,1,"Smart Water","Water","Drinks",2.50,\N,\N,2
30,1,"Dasani Water","Water","Drinks",1.74,\N,\N,2
31,1,"Fresh Brewed Iced Tea","Iced tea","Drinks",3.00,\N,\N,2
32,2,"Loop Burger","Lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",7.59,\N,"gluten",0
33,2,"Loop Cheese Burger","Cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",8.39,\N,"dairy, gluten",0
34,2,"Great American Cheese Burger","American cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",8.39,\N,"dairy, gluten",0
35,2,"Bacon Cheddar Burger","Bacon, cheddar cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",9.39,\N,"dairy, gluten",0
36,2,"Mushroom Swiss Burger","Mushrooms, swiss cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",9.39,\N,"dairy, gluten",0
37,2,"BBQ Bacon Cheddar","Grilled onion, bacon, chessar cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",9.49,\N,"dairy, gluten",0
38,2,"Cajun & Jack Cheese Burger","Honey dijon, jack cheese, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",8.49,\N,"dairy, gluten",0
39,2,"Southwest Burger","Pepper jack, jalapeños, avocado, lettuce, tomato, onion, mayo served with fries, chips, fruit, or broccoli","Burgers",8.49,\N,"dairy, gluten",0
40,2,"Turkey Burger","Grilled with lettuce, tomato, mayo, and onion served with fried, chips, fruit, or broccoli","Burgers",8.79,\N,"dairy, gluten",0
41,2,"Chicken Tender Platter","Plate of chicken fingers","Chicken",6.99,"Three pieces","gluten",0
42,2,"Chicken Tender Platter","Plate of chicken fingers","Chicken",9.99,"Five pieces","gluten",0
43,2,"Grilled Chicken & Jack Cheese","On Cheddar, Swiss, or Bleu","Chicken",8.19,\N,"gluten, dairy",0
44,2,"BBQ Bacon Cheddar Chicken","With grilled onions","Chicken",9.49,\N,"gluten, dairy",0
45,2,"Cajun & Jack Cheese Chicken","With honey dijon","Chicken",8.19,\N,"gluten, dairy",0
46,2,"Southwest Chicken","With pepper jack cheese, jalapeños, & avocado","Chicken",8.39,\N,"dairy",0
47,2,"Pesto Chicken Ciabatta","Oven baked with basil pesto, marinara, melted mozzarella, and asiago cheese","Chicken",8.99,\N,"gluten, dairy, tree nuts, pine nuts",0
48,2,"Grilled Salmon Sandwich","With lemon dill mayo","Fish",10.29,\N,"gluten, fish, dairy",0
49,2,"Cajun Fish or Shrimp Wrap","Cajun whitefish filet or shrimp wrapped in a tortilla with honey dijon, lettuce, and tomato","Fish",9.99,\N,"fish",0
50,2,"Grilled Fish Sandwich","Grilled whitefish-cajun with honey dijon or lemon pepper with dill mayo","Fish",9.99,\N,"gluten, dairy, fish",0
51,2,"Black Bean Burger","Spicy with lettuce, tomato, onion & fat free ranch","Sandwiches",8.29,\N,"gluten, dairy",1
52,2,"Veggie Melt Ciabatta","Oven baked with portabello, zucchini, squash & roasted red peppers, calamata olives with melted mozzarella & crumbled goat cheese","Sandwiches",8.49,\N,"gluten, dairy",1
53,2,"Grilled Portabello Sandwich","With grilled onions, garlic mayonnaise, & jack cheese on a wheat bun","Sandwiches",8.49,\N,"gluten, dairy",1
54,2,"Grilled Vegetable Sandwich","Grilled portabello, roasted red pepper, onion & zucchini & herbed goat cheese spread with balsamic vinaigrette dressing","Sandwiches",9.29,\N,"gluten, dairy",1
55,2,"Walnut Gorgonzola Salad","Mixed greens, grape & sundried tomatoes, onion, tossed in balsamic vinaigrette","Salads",7.99,\N,"nuts",1
56,2,"Asian Chicken Salad","Romaine, cabbage, carrots, crunchy walnuts & noodles, tossed in peanut honey lime dressing","Salads",8.29,\N,"peanuts, tree nuts",0
57,2,"Crunchy Broccoli Salad","Romaine, grape tomatoes, crunchy walnyts & noodles, tossed in sweet red wine vinaigrette","Salads",7.99,\N,"nuts",2
58,2,"Goat Cheese Salad","Romaine, walnuts, dried cranberries, oranges, onions, tossed in shallot vinaigrette","Salads",8.19,\N,"nuts",1
59,2,"Caesar with Chicken Salad","Caesar salad with chicken strips","Salads",8.29,\N,"dairy, fish",0
60,2,"Feta Mediterranean Salad","Mixed greens, artichoke, calamata olives, tomatoes, onions, tossed in balsamic vinaigrette","Salads",7.99,\N,"dairy",1
61,2,"Crispy Chicken Salad","Romaine, grape tomatoes, onion, cheddar","Salads",8.59,\N,"dairy",0
62,2,"Garden with Chicken Salad","Mixed greens, grape tomatoes, carrots, boccoli, onion","Salads",7.99,\N,\N,0
63,2,"Grilled Vegetable with Couscous Salad","Mixed greens, zucchini, squash, onion, calamata olives, roasted red peppers, grape tomatoes, & crumbled goat cheese in balsamic vinaigrette dressing","Salads",7.99,\N,"dairy",1
64,2,"Southwest Chicken Salad","Grilled chicken, seasonal greens, grape tomatoes, corn, black beans, avocado, chipotle ranch","Salads",8.19,\N,"dairy",0
65,2,"Chili (Cup)","With cheddar and onions","Soups",3.29,"Cup","dairy",0
66,2,"Chili (Bowl)","With cheddar and onions","Soups",4.29,"Bowl","dairy",0
67,2,"Tomato Bisque (Cup)","With asiago croutons","Soups",3.29,"Cup","dairy, pork",0
68,2,"Tomato Bisque (Bowl)","With asiago croutons","Soups",4.29,"Bowl","dairy, pork",0
69,2,"Crock of Creamy French Onion","With melted swiss","Soups",4.29,\N,"dairy",1
70,2,"Bleu Cheese Chips","","Sides",3.99,\N,"dairy",1
71,2,"Onion Rings","","Sides",5.79,\N,"gluten",2
72,2,"Fries (Small)","","Sides",1.99,"Small",\N,2
